Date,Open,High,Low,Close,Volume
2019-01-31,55.4111,56.1799,55.0628,56.0912,40377283
2019-02-01,55.9118,56.5151,55.5113,55.729,33236309
2019-02-04,55.7484,56.9107,55.6736,56.8649,78696070
2019-02-05,56.2774,57.4303,55.977,57.3855,82594130
2019-02-06,57.2559,57.4916,55.716,55.9417,48431334
2019-02-07,55.3902,55.3987,54.482,55.0958,38436372
2019-02-08,54.5462,55.0555,54.5144,54.9199,21845445
2019-02-11,54.9881,55.4704,54.8013,54.907,18564675
2019-02-12,55.3499,56.4384,55.3499,56.1754,35162426
2019-02-13,56.4474,56.9361,56.0967,56.2277,28143394
2019-02-14,56.0468,56.6013,55.6528,56.2561,21182451
2019-02-15,56.7593,56.7593,55.6343,55.7793,27927835
2019-02-19,55.6303,56.2779,55.6303,56.122,22064878
2019-02-20,56.2401,56.3423,55.3867,55.8271,24177991
2019-02-21,55.737,55.7554,54.7007,55.0111,33400241
2019-02-22,55.2846,55.6608,54.8263,55.6263,29542367
2019-02-25,55.8938,56.0667,55.5043,55.6648,26302243
2019-02-26,55.5172,56.1185,55.1352,55.8978,35152189
2019-02-27,55.4993,56.0832,55.2278,55.9417,22177726
2019-02-28,55.7479,56.4947,55.7185,56.124,27526526
2019-03-01,56.3457,57.2923,56.3457,57.2186,34208722
2019-03-04,57.5195,58.0656,56.707,57.4627,35617992
2019-03-05,57.5912,58.612,57.4428,58.2483,40239806
2019-03-06,58.3763,58.5249,57.9424,58.0366,23686596
2019-03-07,57.8154,57.9689,56.8798,57.3346,30195626
2019-03-08,56.4903,57.4642,56.3059,57.2908,23780535
2019-03-11,57.392,58.7824,57.3705,58.7501,30141531
2019-03-12,58.9015,60.0678,58.9015,59.6463,42372630
2019-03-13,60.0787,60.138,59.6791,59.7364,25980923
2019-03-14,59.7344,60.0174,59.3464,59.4111,27400410
2019-03-15,59.6836,59.8695,59.1361,59.3,52054782
2019-03-18,59.2697,59.5317,58.8606,59.2128,24532672
2019-03-19,59.3708,59.9532,59.2582,59.9058,29896125
2019-03-20,59.853,61.2774,59.7628,61.1,41659313
2019-03-21,60.7797,61.5987,60.6093,61.5832,28251645
2019-03-22,61.2206,61.4588,60.0822,60.1644,34547445
2019-03-25,59.7613,60.2536,59.2851,59.6528,27676949
2019-03-26,60.0418,60.1644,58.8746,59.2772,30863599
2019-03-27,59.3807,59.3807,58.0012,58.6877,29534719
2019-03-28,58.5627,58.6499,57.9614,58.4018,22483651
2019-03-29,58.7959,58.9846,58.1083,58.6319,31004287
2019-04-01,59.1625,59.7933,59.1038,59.7324,27812358
2019-04-02,59.7858,60.0728,59.3469,60.0593,18354556
2019-04-03,60.416,60.8095,60.0363,60.3219,22272729
2019-04-04,60.3457,60.807,60.2337,60.7523,21097986
2019-04-05,60.7448,60.799,60.2829,60.3537,20093457
2019-04-08,60.3368,60.4783,60.0174,60.1957,21830612
2019-04-09,59.8775,60.1395,59.7026,59.9173,19748130
2019-04-10,60.0368,60.2287,59.8161,60.1046,15565342
2019-04-11,60.2267,60.418,60.0095,60.261,17060562
2019-04-12,60.5614,60.9317,60.4454,60.9157,24400334
2019-04-15,60.9834,61.2429,60.5087,61.105,23885755
2019-04-16,61.2779,61.5758,61.0308,61.3731,22703986
2019-04-17,61.6266,62.0301,61.4223,61.783,30475798
2019-04-18,62.0251,62.072,61.7467,61.8492,24845502
2019-04-22,61.6102,62.4905,61.4458,62.4615,19157577
2019-04-23,62.6051,63.4914,62.3728,63.3001,31984508
